regpro,ua_mean,Adjustment,source,setting
BC,0.035,Unadjusted,CCAHS,A
AB,0.059,Unadjusted,CCAHS,A
MB,0.027,Unadjusted,CCAHS,A
SK,0.038,Unadjusted,CCAHS,A
ON,0.038,Unadjusted,CCAHS,A
ATL,0.022,Unadjusted,CCAHS,A
BC,0.022393365,Unadjusted,CBS,A
AB,0.043164785,Unadjusted,CBS,A
MB,0.037553233,Unadjusted,CBS,A
SK,0.035534956,Unadjusted,CBS,A
ON,0.026607813,Unadjusted,CBS,A
ATL,0.003115776,Unadjusted,CBS,A
BC,0.0248,Unadjusted,ABC,A
AB,0.028608583,Unadjusted,ABC,A
MB,0.02617801,Unadjusted,ABC,A
SK,0.037735849,Unadjusted,ABC,A
ON,0.023025151,Unadjusted,ABC,A
ATL,0.018666667,Unadjusted,ABC,A
BC,0.283181358,Unadjusted,CBS,C
AB,0.33443299,Unadjusted,CBS,C
MB,0.28730996,Unadjusted,CBS,C
SK,0.257461345,Unadjusted,CBS,C
ON,0.238686652,Unadjusted,CBS,C
ATL,0.12793022,Unadjusted,CBS,C
BC,0.104446743,Unadjusted,ABC,C
AB,0.098827471,Unadjusted,ABC,C
MB,0.145454545,Unadjusted,ABC,C
SK,0.107594937,Unadjusted,ABC,C
ON,0.080343608,Unadjusted,ABC,C
ATL,0.049469965,Unadjusted,ABC,C
BC,0.342519685,Unadjusted,CCAHS,D
AB,0.405925926,Unadjusted,CCAHS,D
MB,0.393356643,Unadjusted,CCAHS,D
SK,0.383104126,Unadjusted,CCAHS,D
ON,0.339831059,Unadjusted,CCAHS,D
ATL,0.340535463,Unadjusted,CCAHS,D
BC,0.489176044,Unadjusted,CBS,D
AB,0.564509548,Unadjusted,CBS,D
MB,0.517660221,Unadjusted,CBS,D
SK,0.505676856,Unadjusted,CBS,D
ON,0.468491067,Unadjusted,CBS,D
ATL,0.418139605,Unadjusted,CBS,D
BC,0.039,MRP_Adjusted,CCAHS,A
AB,0.054,MRP_Adjusted,CCAHS,A
MB,0.033,MRP_Adjusted,CCAHS,A
SK,0.039,MRP_Adjusted,CCAHS,A
ON,0.042,MRP_Adjusted,CCAHS,A
ATL,0.025,MRP_Adjusted,CCAHS,A
BC,0.025339599,MRP_Adjusted,CBS,A
AB,0.051955342,MRP_Adjusted,CBS,A
MB,0.045158815,MRP_Adjusted,CBS,A
SK,0.045274235,MRP_Adjusted,CBS,A
ON,0.029271063,MRP_Adjusted,CBS,A
ATL,0.003935323,MRP_Adjusted,CBS,A
BC,0.02652418,MRP_Adjusted,ABC,A
AB,0.026175293,MRP_Adjusted,ABC,A
MB,0.026845744,MRP_Adjusted,ABC,A
SK,0.027997453,MRP_Adjusted,ABC,A
ON,0.025355824,MRP_Adjusted,ABC,A
ATL,0.024025422,MRP_Adjusted,ABC,A
BC,0.296009403,MRP_Adjusted,CBS,C
AB,0.363710569,MRP_Adjusted,CBS,C
MB,0.30595815,MRP_Adjusted,CBS,C
SK,0.278409339,MRP_Adjusted,CBS,C
ON,0.254792652,MRP_Adjusted,CBS,C
ATL,0.141443572,MRP_Adjusted,CBS,C
BC,0.108706463,MRP_Adjusted,ABC,C
AB,0.105525156,MRP_Adjusted,ABC,C
MB,0.134729243,MRP_Adjusted,ABC,C
SK,0.10764989,MRP_Adjusted,ABC,C
ON,0.088297214,MRP_Adjusted,ABC,C
ATL,0.070278435,MRP_Adjusted,ABC,C
BC,0.413092013,MRP_Adjusted,CCAHS,D
AB,0.465889507,MRP_Adjusted,CCAHS,D
MB,0.430215801,MRP_Adjusted,CCAHS,D
SK,0.442520985,MRP_Adjusted,CCAHS,D
ON,0.408510655,MRP_Adjusted,CCAHS,D
ATL,0.403845827,MRP_Adjusted,CCAHS,D
BC,0.507724031,MRP_Adjusted,CBS,D
AB,0.596219372,MRP_Adjusted,CBS,D
MB,0.541786113,MRP_Adjusted,CBS,D
SK,0.537234032,MRP_Adjusted,CBS,D
ON,0.483842304,MRP_Adjusted,CBS,D
ATL,0.439608181,MRP_Adjusted,CBS,D
AB,0.307510329,MRP_Adjusted,APL,C
AB,0.262958435,Unadjusted,APL,C
AB,0.313441905,MRP_Adjusted,APL,D
AB,0.279780006,Unadjusted,APL,D
BC,0.023881919,MRP_Adjusted,CANPATH,A
AB,0.024385439,MRP_Adjusted,CANPATH,A
ON,0.025422572,MRP_Adjusted,CANPATH,A
ATL,0.023638984,MRP_Adjusted,CANPATH,A
BC,0.019398642,Unadjusted,CANPATH,A
AB,0.01809291,Unadjusted,CANPATH,A
ON,0.022988506,Unadjusted,CANPATH,A
ATL,0.015789474,Unadjusted,CANPATH,A
BC,0.046359363,MRP_Adjusted,CBS,B
AB,0.081510008,MRP_Adjusted,CBS,B
MB,0.056512587,MRP_Adjusted,CBS,B
SK,0.042717443,MRP_Adjusted,CBS,B
ON,0.044557136,MRP_Adjusted,CBS,B
ATL,0.006777223,MRP_Adjusted,CBS,B
BC,0.02613321,MRP_Adjusted,ABC,B
AB,0.030714607,MRP_Adjusted,ABC,B
MB,0.030208839,MRP_Adjusted,ABC,B
SK,0.032194798,MRP_Adjusted,ABC,B
ON,0.026658381,MRP_Adjusted,ABC,B
ATL,0.024448432,MRP_Adjusted,ABC,B
BC,0.008719789,MRP_Adjusted,CANPATH,B
AB,0.017409009,MRP_Adjusted,CANPATH,B
MB,0.020209657,MRP_Adjusted,CANPATH,B
SK,0.02070232,MRP_Adjusted,CANPATH,B
ON,0.011989155,MRP_Adjusted,CANPATH,B
ATL,0.015153547,MRP_Adjusted,CANPATH,B
BC,0.055045516,MRP_Adjusted,CLSA,B
AB,0.076084118,MRP_Adjusted,CLSA,B
MB,0.044337774,MRP_Adjusted,CLSA,B
SK,0.150239717,MRP_Adjusted,CLSA,B
ON,0.039264891,MRP_Adjusted,CLSA,B
ATL,0.063595391,MRP_Adjusted,CLSA,B
BC,0.045888399,Unadjusted,CBS,B
AB,0.072910824,Unadjusted,CBS,B
MB,0.050212766,Unadjusted,CBS,B
SK,0.037446809,Unadjusted,CBS,B
ON,0.041975791,Unadjusted,CBS,B
ATL,0.005499542,Unadjusted,CBS,B
BC,0.021762786,Unadjusted,ABC,B
AB,0.036036036,Unadjusted,ABC,B
MB,0.037974684,Unadjusted,ABC,B
SK,0.051612903,Unadjusted,ABC,B
ON,0.024316109,Unadjusted,ABC,B
ATL,0.020080321,Unadjusted,ABC,B
BC,0,Unadjusted,CANPATH,B
AB,0,Unadjusted,CANPATH,B
ON,0.012658228,Unadjusted,CANPATH,B
ATL,0.018018018,Unadjusted,CANPATH,B
BC,0.033898305,Unadjusted,CLSA,B
AB,0.088235294,Unadjusted,CLSA,B
MB,0,Unadjusted,CLSA,B
SK,0.5,Unadjusted,CLSA,B
ON,0.024390244,Unadjusted,CLSA,B
ATL,0.06122449,Unadjusted,CLSA,B
MB,0.02371594,MRP_Adjusted,CANPATH,A
SK,0.02633746,MRP_Adjusted,CANPATH,A
BC,0.039,MRP_Adjusted_rg,CCAHS,A
AB,0.054,MRP_Adjusted_rg,CCAHS,A
MB,0.033,MRP_Adjusted_rg,CCAHS,A
SK,0.039,MRP_Adjusted_rg,CCAHS,A
ON,0.042,MRP_Adjusted_rg,CCAHS,A
ATL,0.025,MRP_Adjusted_rg,CCAHS,A
BC,0.024061442,MRP_Adjusted_rg,CBS,A
AB,0.051500353,MRP_Adjusted_rg,CBS,A
MB,0.044493624,MRP_Adjusted_rg,CBS,A
SK,0.044612613,MRP_Adjusted_rg,CBS,A
ON,0.028114498,MRP_Adjusted_rg,CBS,A
ATL,0.001995178,MRP_Adjusted_rg,CBS,A
BC,0.02652418,MRP_Adjusted_rg,ABC,A
AB,0.026175293,MRP_Adjusted_rg,ABC,A
MB,0.026845744,MRP_Adjusted_rg,ABC,A
SK,0.027997453,MRP_Adjusted_rg,ABC,A
ON,0.025355824,MRP_Adjusted_rg,ABC,A
ATL,0.024025422,MRP_Adjusted_rg,ABC,A
BC,0.303102477,MRP_Adjusted_rg,CBS,C
AB,0.372897494,MRP_Adjusted_rg,CBS,C
MB,0.313358918,MRP_Adjusted_rg,CBS,C
SK,0.284958081,MRP_Adjusted_rg,CBS,C
ON,0.260610981,MRP_Adjusted_rg,CBS,C
ATL,0.14375626,MRP_Adjusted_rg,CBS,C
BC,0.090996825,MRP_Adjusted_rg,ABC,C
AB,0.087015214,MRP_Adjusted_rg,ABC,C
MB,0.123566011,MRP_Adjusted_rg,ABC,C
SK,0.089674456,MRP_Adjusted_rg,ABC,C
ON,0.065453334,MRP_Adjusted_rg,ABC,C
ATL,0.042901671,MRP_Adjusted_rg,ABC,C
BC,0.531522104,MRP_Adjusted_rg,CCAHS,D
AB,0.443753505,MRP_Adjusted_rg,CCAHS,D
MB,0.459464907,MRP_Adjusted_rg,CCAHS,D
SK,0.485590294,MRP_Adjusted_rg,CCAHS,D
ON,0.450209559,MRP_Adjusted_rg,CCAHS,D
ATL,0.504483497,MRP_Adjusted_rg,CCAHS,D
BC,0.52136498,MRP_Adjusted_rg,CBS,D
AB,0.612597291,MRP_Adjusted_rg,CBS,D
MB,0.556480529,MRP_Adjusted_rg,CBS,D
SK,0.551787662,MRP_Adjusted_rg,CBS,D
ON,0.496744643,MRP_Adjusted_rg,CBS,D
ATL,0.451142455,MRP_Adjusted_rg,CBS,D
AB,0.331004675,MRP_Adjusted_rg,APL,C
AB,0.337410265,MRP_Adjusted_rg,APL,D
BC,0.023881919,MRP_Adjusted_rg,CANPATH,A
AB,0.025254254,MRP_Adjusted_rg,CANPATH,A
ON,0.025422572,MRP_Adjusted_rg,CANPATH,A
ATL,0.023638984,MRP_Adjusted_rg,CANPATH,A
BC,0.045731302,MRP_Adjusted_rg,CBS,B
AB,0.08196908,MRP_Adjusted_rg,CBS,B
MB,0.056198543,MRP_Adjusted_rg,CBS,B
SK,0.041976745,MRP_Adjusted_rg,CBS,B
ON,0.043873336,MRP_Adjusted_rg,CBS,B
ATL,0.004924972,MRP_Adjusted_rg,CBS,B
BC,0.02613321,MRP_Adjusted_rg,ABC,B
AB,0.030714607,MRP_Adjusted_rg,ABC,B
MB,0.030208839,MRP_Adjusted_rg,ABC,B
SK,0.032194798,MRP_Adjusted_rg,ABC,B
ON,0.026658381,MRP_Adjusted_rg,ABC,B
ATL,0.024448432,MRP_Adjusted_rg,ABC,B
BC,0.008719789,MRP_Adjusted_rg,CANPATH,B
AB,0.017720312,MRP_Adjusted_rg,CANPATH,B
MB,0.020209657,MRP_Adjusted_rg,CANPATH,B
SK,0.02070232,MRP_Adjusted_rg,CANPATH,B
ON,0.011989155,MRP_Adjusted_rg,CANPATH,B
ATL,0.015153547,MRP_Adjusted_rg,CANPATH,B
BC,0.054686099,MRP_Adjusted_rg,CLSA,B
AB,0.076375379,MRP_Adjusted_rg,CLSA,B
MB,0.04364719,MRP_Adjusted_rg,CLSA,B
SK,0.152824451,MRP_Adjusted_rg,CLSA,B
ON,0.038417413,MRP_Adjusted_rg,CLSA,B
ATL,0.063500403,MRP_Adjusted_rg,CLSA,B
MB,0.02371594,MRP_Adjusted_rg,CANPATH,A
SK,0.02633746,MRP_Adjusted_rg,CANPATH,A
